date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
1927,35,0,4,18,39,53,1,0,0,4,0,0,20,112,374,242,181,83,29,0,0,1,150,7,13,233,126,83,0,0,12,0,41,109,0,78,241,180,0,0,22,43,35,53,174,0,0,155,73,186,29
1928,341,0,410,248,1007,345,161,2,10,157,15,0,367,1787,3442,1651,2489,737,648,95,19,9,1294,111,132,1465,855,1472,0,1,91,77,188,2402,83,1123,3922,1921,75,0,290,357,681,1798,415,10,2,1616,1300,830,163
1929,378,0,276,199,2009,844,43,2,0,36,55,0,555,4177,3458,1885,1919,577,182,74,8,63,2421,188,32,1166,540,1802,0,11,1,80,289,583,359,2968,2059,1153,52,0,109,1095,246,2442,166,139,63,2067,603,681,334
1930,193,0,548,413,2360,566,0,0,0,28,0,0,205,3925,5337,3067,2361,554,264,0,0,0,2400,297,192,1619,371,2010,0,0,1,176,333,563,735,5239,2686,799,42,0,82,1407,429,2747,27,82,10,2367,790,912,253
1931,295,0,46,753,1390,265,100,0,0,28,47,0,80,1787,2962,2331,2580,340,634,1,1,6,894,246,992,1106,144,1221,0,2,10,61,422,64,421,1796,2032,774,11,0,65,669,354,1799,17,238,12,1038,250,370,54
1932,467,0,7,360,495,61,86,0,1,33,15,0,85,340,383,1163,168,171,151,1,0,43,223,93,525,236,136,302,0,2,0,22,193,72,243,1018,537,392,7,0,17,158,439,1068,4,174,10,665,62,89,23
1933,82,0,10,230,1059,167,29,0,2,1,46,0,196,272,88,748,50,20,75,0,0,0,43,55,45,121,38,135,0,0,1,19,3,37,27,249,165,312,0,0,22,21,50,822,28,3,8,283,59,538,5
1934,23,0,3,107,181,154,0,0,0,3,12,0,103,107,73,166,113,29,63,0,0,0,52,313,26,186,21,226,0,2,0,15,0,18,28,39,105,151,0,0,24,134,38,883,34,0,32,547,11,1010,107
1935,42,0,2,61,296,172,0,1,0,14,29,0,12,98,70,206,570,7,32,0,1,0,19,224,15,90,690,1296,0,0,0,47,2,22,54,33,46,116,0,0,7,293,13,547,8,1,10,1365,21,642,315
1936,12,0,3,14,120,197,0,0,4,0,16,0,115,435,110,737,778,13,27,0,0,0,33,307,7,394,768,764,0,0,0,5,66,20,336,47,50,359,0,0,13,608,11,78,82,1,4,379,5,412,195
1937,54,0,3,95,498,212,0,0,0,7,7,0,353,950,662,1311,603,75,19,0,0,0,153,533,31,1534,880,168,0,0,0,17,56,12,753,121,119,608,0,0,2,142,49,171,17,1,6,479,17,217,155
1938,67,0,173,231,1151,279,0,0,0,16,23,0,520,959,1490,1168,508,481,20,0,0,0,282,772,109,1149,329,196,0,0,0,55,0,35,411,360,567,664,0,0,0,313,140,628,29,0,4,976,8,213,57
1939,26,0,209,136,591,331,6,0,0,4,39,0,135,368,1478,1064,228,87,14,0,0,0,375,440,10,536,59,224,0,0,0,38,50,16,91,637,877,236,1,0,4,281,216,504,19,0,0,93,24,168,33
1940,51,0,12,82,68,252,0,0,0,8,14,0,6,173,99,346,14,6,6,0,0,0,70,274,12,100,9,33,0,0,0,8,0,6,85,21,144,57,0,0,8,94,50,119,14,0,5,15,5,180,7
1941,7,0,15,34,9,38,0,0,0,0,11,0,7,111,55,106,33,22,8,0,0,0,98,116,18,144,4,9,3,0,0,6,0,4,11,18,37,61,0,0,10,61,23,46,0,0,1,31,7,156,2
1942,12,0,4,62,6,14,0,0,0,1,10,0,8,68,62,22,16,22,18,0,0,0,16,11,20,69,3,17,1,1,0,4,0,7,4,31,24,12,48,0,8,13,53,127,0,0,0,10,5,27,4
