id,code,name,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
01,AL,Alabama,68,208,256,279,677,419,457,376,169,105,59,62,154,23,11,22
02,AK,Alaska,0,0,0,61,32,0,0,333,55,18,3,2,20,2,0,0
04,AZ,Arizona,46,165,164,171,292,356,385,223,128,152,58,34,62,9,9,6
05,AR,Arkansas,112,147,993,334,443,418,322,371,174,227,85,41,193,41,26,26
06,CA,California,983,5481,2607,2090,3179,3721,3956,4660,2028,2159,755,311,346,415,98,88
08,CO,Colorado,143,124,675,211,1077,791,195,397,217,164,52,22,18,21,11,4
09,CT,Connecticut,136,126,657,483,294,368,363,448,589,128,40,44,60,36,5,2
10,DE,Delaware,113,128,46,43,14,103,32,89,55,28,11,28,8,1,2,0
11,DC,District of Columbia,27,137,107,184,66,118,65,88,49,11,70,10,4,5,3,1
12,FL,Florida,135,274,285,463,344,574,679,1784,455,369,155,259,155,72,38,10
13,GA,Georgia,103,234,247,492,656,578,461,755,257,196,85,53,103,26,30,20
15,HI,Hawaii,0,0,0,20,28,0,0,234,173,65,15,76,5,8,4,2
16,ID,Idaho,352,100,511,159,126,313,95,124,249,109,28,12,8,11,15,2
17,IL,Illinois,1028,1130,2906,1916,1694,3333,2023,2210,1285,1825,348,240,213,154,37,64
18,IN,Indiana,248,416,1141,597,362,1144,639,867,431,431,213,156,95,157,23,28
19,IA,Iowa,209,1183,1210,1282,442,2705,605,1450,516,649,185,79,285,27,22,9
20,KS,Kansas,201,321,755,523,788,1370,513,700,260,267,65,29,115,19,9,0
21,KY,Kentucky,112,192,686,693,318,1344,377,846,409,199,110,87,75,152,28,29
22,LA,Louisiana,80,153,232,403,815,901,433,540,367,629,179,76,105,54,56,32
23,ME,Maine,49,47,466,97,50,151,320,136,187,21,9,2,46,51,6,0
24,MD,Maryland,114,139,250,713,146,198,543,246,257,111,41,27,24,160,45,2
25,MA,Massachusetts,353,190,1807,511,294,493,629,1054,3547,112,25,29,81,36,16,7
26,MI,Michigan,699,780,2919,2014,1479,3114,2313,2184,1074,728,512,1233,272,95,39,21
27,MN,Minnesota,497,1427,1891,591,579,3094,2231,689,538,205,50,32,138,55,8,7
28,MS,Mississippi,89,157,355,397,691,783,343,520,179,316,108,124,87,37,27,20
29,MO,Missouri,269,335,1328,415,701,1009,885,655,264,421,129,187,305,43,28,15
30,MT,Montana,33,66,102,46,134,232,249,179,148,59,14,67,10,24,4,5
31,NE,Nebraska,263,695,670,438,434,1702,234,728,273,195,76,35,94,15,7,8
32,NV,Nevada,4,12,18,12,40,98,57,111,85,35,4,6,7,0,0,0
33,NH,New Hampshire,39,23,182,23,37,53,115,96,197,7,6,4,2,0,3,0
34,NJ,New Jersey,282,802,1529,886,448,658,759,909,624,215,79,297,67,85,28,6
35,NM,New Mexico,50,80,207,140,141,418,108,226,123,84,51,44,34,9,6,4
36,NY,New York,1249,1497,5587,4231,1735,2361,3145,2468,2549,804,217,292,353,280,256,88
37,NC,North Carolina,289,2239,248,752,320,1057,933,739,425,343,229,109,190,99,21,14
38,ND,North Dakota,125,139,450,39,94,260,198,119,64,41,11,47,14,13,5,5
39,OH,Ohio,1354,1161,1792,1802,1131,3052,2608,2438,1160,628,302,404,174,130,48,19
40,OK,Oklahoma,96,340,1323,525,659,955,554,561,285,223,125,62,109,17,4,32
41,OR,Oregon,119,213,331,515,362,462,338,381,416,178,52,35,118,35,17,7
42,PA,Pennsylvania,448,740,841,1334,776,1309,1283,1436,646,210,51,127,134,167,61,21
44,RI,Rhode Island,142,11,178,52,15,96,288,122,410,9,0,3,7,103,1,0
45,SC,South Carolina,55,369,110,434,125,158,171,321,289,115,132,31,59,131,33,8
46,SD,South Dakota,61,932,409,184,129,655,224,142,71,41,81,14,11,5,5,2
47,TN,Tennessee,171,400,547,563,708,668,604,601,229,156,214,132,213,57,26,14
48,TX,Texas,230,1357,2313,2747,1924,3498,1698,3087,1819,1355,708,614,378,189,75,207
49,UT,Utah,43,214,292,81,572,457,222,276,82,223,33,12,8,8,7,2
50,VT,Vermont,48,32,158,33,29,54,117,79,109,32,5,7,7,10,9,1
51,VA,Virginia,170,583,339,1217,241,583,748,603,303,237,112,164,192,58,18,11
53,WA,Washington,209,376,594,634,427,996,418,448,512,206,28,33,158,31,34,5
54,WV,West Virginia,135,178,349,376,278,610,516,388,173,111,51,205,119,64,33,18
55,WI,Wisconsin,332,666,1164,953,1370,1905,755,682,2160,554,213,62,38,41,34,12
56,WY,Wyoming,23,78,122,45,204,167,75,273,39,41,13,13,2,22,1,2
