date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
1954,8451,1487,4959,2619,60293,1906,5026,1942,3032,10945,6773,504,4405,33190,22049,12530,1355,29774,3028,5810,11648,23325,40177,2893,3012,1541,4680,2568,388,932,2716,23896,86718,9472,2775,3361,28597,3973,38057,1825,5546,809,13987,75953,7829,2866,23945,21574,9755,10448,1148
1955,2125,537,10107,2994,67434,4902,28902,105,453,1427,2478,6395,703,13649,3769,7679,3046,2213,167,6636,2290,46745,22520,7146,1499,3991,2861,166,392,4631,4881,51559,38542,1259,2508,2976,15356,4897,18647,5409,1173,422,5876,39466,791,7106,4310,11068,3839,51103,555
1956,7117,2511,6785,8637,32254,14190,2697,866,1596,5149,4770,5154,1994,42124,16415,8309,4254,17687,2112,1082,8736,3522,40333,1320,2248,5200,6669,2495,138,200,3992,19110,49716,7705,2222,10011,43946,2293,43664,188,8576,581,21071,66685,2299,1285,23616,12842,10903,26782,1999
1957,9320,958,7886,1358,50403,2887,9672,333,876,5262,5860,5059,3126,9692,8167,8984,13,16331,1080,4516,2289,10945,17777,7508,1283,4283,3526,234,1540,395,6330,26279,38255,1906,3851,1508,8181,15053,12826,618,5644,543,15659,42797,14454,2863,4946,16735,3411,37181,218
1958,7664,1259,9845,3002,35074,9436,15792,515,1420,12347,6664,575,3824,23045,18173,12560,71,18348,285,4367,6287,35819,40667,1254,1408,3450,7096,1505,198,2138,8082,25274,60457,4103,4330,7206,30025,9088,33968,4263,10879,121,27544,82299,3877,2087,21533,10654,12125,64000,1365
1959,3467,1829,9067,816,38951,7037,13030,616,397,3592,445,3686,1624,9611,4595,11468,0,6647,68,2588,2333,6305,11469,2694,1421,3605,4185,410,614,456,4448,30207,23392,3260,5559,668,12029,7815,27808,308,1946,861,9720,33917,5837,2034,13801,14457,7538,14972,900
1960,2075,1456,4305,1596,22222,6806,11057,956,1210,3723,217,5322,2831,22656,10427,1764,0,10734,244,4027,3251,21703,35379,4325,1665,751,2132,210,765,1135,65,10697,46685,1239,2476,1208,18605,11074,6767,1948,1284,120,19158,49678,4966,3475,7396,13023,3528,43191,694
1961,2588,1002,7868,1684,36853,3879,6768,1698,366,6695,413,195,1927,16108,5898,5306,0,11259,41,2777,4137,21735,27580,714,1520,4441,2270,639,623,1450,20,18391,35367,5162,2814,598,20569,5755,25758,6573,3292,151,14600,16111,1681,1154,11709,8685,7842,37401,484
1962,2379,1406,6350,1438,28140,9001,17790,607,703,4154,418,2649,1620,16795,7661,10825,0,6229,230,7137,3154,26910,25303,1667,2670,1382,8246,119,674,1034,0,32528,47224,907,3715,2099,11763,13929,9437,3301,930,453,24474,66915,4125,2037,9660,20714,9970,14793,476
1963,1165,1849,8878,1453,20028,6298,5859,1201,221,3754,200,3559,3910,10247,5871,7693,0,8819,143,482,2034,4495,41632,2710,671,2812,3391,234,269,42,0,10490,18799,1449,4366,346,14646,4787,12122,1223,2356,89,6825,16697,3080,1611,7377,4933,12505,58107,329
1964,18118,1157,6310,1106,32650,3240,5289,394,344,7028,211,862,2286,15801,22281,22512,0,15076,117,3713,3125,7407,29023,345,5859,1074,4092,810,996,893,1118,11744,27599,1265,5278,1038,19266,8553,11736,2472,4001,69,23734,39353,2550,2381,11973,19978,9321,15425,286
1965,2346,215,1593,1195,13864,6009,9222,519,157,3708,655,4054,3119,4565,2366,9309,0,3802,134,2949,1279,19505,28161,950,1150,2688,3928,470,225,372,694,4140,9296,419,4045,244,9277,3520,6644,3972,1262,116,9043,29509,4422,1457,4117,7587,14872,20407,751
1966,1813,641,5438,1377,15197,1445,944,264,390,3931,244,145,1701,11521,5817,5453,0,4852,107,297,2133,831,14984,1683,1280,568,1928,169,64,79,1272,2015,10894,778,1376,620,6503,2499,5499,88,663,40,12718,25178,688,327,2256,5096,5564,31459,235
1967,1346,148,1022,1269,5260,1635,106,56,27,1806,42,177,413,1306,678,826,97,1486,159,247,182,416,1151,137,678,340,343,532,269,27,612,612,1205,943,896,806,1220,1717,792,62,517,58,2068,13283,385,42,2346,5679,1496,2131,207
1968,159,11,245,3,1648,499,707,24,6,573,4,37,21,1483,789,183,21,141,28,35,104,552,351,19,241,32,68,67,8,149,176,682,3799,324,142,124,334,614,295,67,38,4,65,5146,21,8,433,598,362,1384,55
1969,12,20,542,29,898,139,642,506,45,611,2,53,90,1120,540,279,9,71,124,8,99,371,389,27,23,74,119,661,1,196,286,955,5520,373,81,142,565,202,1251,27,136,51,19,4957,11,3,934,56,242,671,8
